1;-0.26070;0.63332;0.57237;-0.14279;0.73221;9687
24;-0.12334;0.65225;0.74296;-0.21108;0.76795;7372
7;-0.20995;0.66804;0.60393;-0.00746;100.000;5557
3;-0.19442;0.61615;0.51711;0.08541;0.99197;4895
16;-0.08146;0.60328;0.74089;-0.25369;0.78059;4795
23;-0.35535;0.66669;0.56319;-0.37988;0.73239;3925
21;-0.13668;0.65264;0.75959;-0.42584;0.97677;3875
12;-0.12286;0.65317;0.77007;-0.19021;0.77926;3592
22;-0.26551;0.63538;0.57371;-0.39263;0.73578;3032
15;-0.14538;0.65239;0.71822;-0.32729;0.80782;2900
25;-0.14225;0.66272;0.58762;-0.40911;0.66140;2747
10;-0.19441;0.61205;0.72715;-0.26397;0.76923;2627
0;-0.35311;0.66417;0.34482;-0.43238;0.77544;2547
17;-0.14422;0.66351;0.45859;-0.21042;0.65422;2522
2;-0.22551;0.82137;0.66103;-0.26401;0.91001;2377
5;-0.12898;0.65059;0.58952;-0.22228;0.76972;2337
9;-0.38129;0.75311;0.55007;-0.51149;0.71428;2077
6;-0.29538;0.66572;0.59113;-0.40053;0.71030;1955
13;-0.19744;0.75004;0.68249;-0.09871;0.76403;1685
4;-0.41693;0.65938;0.42341;-0.37914;0.62354;1600
20;-0.37082;0.67593;0.73192;-0.44689;0.73404;1547
18;-0.10497;0.65337;0.58787;-0.04627;0.76623;1485
8;-0.48153;0.68424;0.55984;-0.34727;0.88405;1365
11;-0.42559;0.23861;0.58562;-0.43043;0.73651;1237
19;-0.51871;0.67459;0.56294;-0.43583;0.73540;887
14;-0.29436;0.65818;0.47541;-0.35477;0.71462;865
